property_ID,locality_name,postal_code,property_type,property_subtype,sale_type,number_of_rooms,furnished,open_fire,terrace_area,garden_area
11144617,Ronse,9600,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11143936,WIJGMAAL,3018,HOUSE,HOUSE,FOR_SALE,,0,False,0,65
11143713,Burdinne,4210,HOUSE,COUNTRY_COTTAGE,FOR_SALE,,False,False,32,1600
11143954,Gentbrugge,9050,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11143726,Maarkedal,9680,HOUSE,VILLA,FOR_SALE,,False,False,40,800
11149178,Meise,1860,HOUSE,VILLA,FOR_SALE,,0,False,0,10505
11120444,Charleroi,6020,HOUSE,HOUSE,FOR_SALE,,False,False,15,0
11150716,Overijse,3090,HOUSE,VILLA,FOR_SALE,,0,True,35,350
11151111,Ukkel,1180,HOUSE,MANSION,FOR_SALE,,False,False,50,50
11141224,Herstal,4040,HOUSE,HOUSE,FOR_SALE,,False,False,66,98
11140958,Ronse,9600,HOUSE,VILLA,FOR_SALE,,False,False,18,240
11140901,Nazareth,9810,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11141759,Eigenbrakel,1420,HOUSE,HOUSE,FOR_SALE,,False,False,0,156
11142081,Londerzeel,1840,HOUSE,HOUSE,FOR_SALE,,0,False,0,600
11140831,Gent Mariakerke,9030,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11143169,Puurs,2870,HOUSE,MIXED_USE_BUILDING,FOR_SALE,,0,False,25,35
11142044,Aarlen,6700,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11143235,Bachte-Maria-Leerne,9800,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11140830,Gent,9000,HOUSE,VILLA,FOR_SALE,,False,False,0,0
11141660,Elsene,1050,HOUSE_GROUP,HOUSE_GROUP,FOR_SALE,,0,False,0,0
11140491,Edegem,2650,HOUSE,HOUSE,FOR_SALE,,0,True,0,315
11149967,Antwerpen Borgerhout,2140,HOUSE,MANSION,FOR_SALE,,0,False,6,0
11154543,Eghezée,5310,APARTMENT,DUPLEX,FOR_SALE,,False,False,0,170
11154542,Ukkel,1180,HOUSE,HOUSE,FOR_SALE,,False,False,10,40
11154539,Elsene,1050,HOUSE,HOUSE,FOR_SALE,,False,False,0,40
11154538,Elsene,1050,HOUSE,HOUSE,FOR_SALE,,False,False,16,80
11154535,Brugge,8000,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
11095495,Fléron,4620,HOUSE,HOUSE,FOR_SALE,,0,False,20,60
10941801,Edingen,7850,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
11154534,Hamme,9220,APARTMENT,APARTMENT,FOR_SALE,,0,True,0,0
11062355,Galmaarden,1570,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
10941799,Bever,1547,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
10941798,Herne,1540,HOUSE,HOUSE,FOR_SALE,,0,True,0,0
