,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
96,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,
97,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
114,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
115,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,
116,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
121,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,
127,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
128,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
131,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
140,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
142,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
143,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
149,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
152,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
159,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
165,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
167,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
168,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
169,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
170,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
171,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
172,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
173,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,
174,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
182,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
185,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
186,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
188,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
190,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
192,529.0,,,,,,,,,,,,,,,,,,,,,,,,,,
193,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
194,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,
195,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,
196,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
197,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
198,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
200,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
203,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
208,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
210,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
211,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
212,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
215,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
216,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
219,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
225,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
226,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1261.0,,,,,,,,,,,,,,,,,,,,,,,,,,
235,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
236,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
238,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
239,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
240,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
241,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
242,611.0,,,,,,,,,,,,,,,,,,,,,,,,,,
243,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
244,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
245,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
246,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
247,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
248,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
249,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,
250,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,
251,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
252,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
253,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,
254,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
255,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
256,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
257,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
258,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,
259,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
260,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
261,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
262,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
263,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
265,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
266,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
267,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
