,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
2413,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,1232.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2576,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2580,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2590,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,1348.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2741,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2742,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2780,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2781,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,391.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2817,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,1073.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2828,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2829,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2830,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
